Seq	Time	CANInd	Orentation	ID	Frame	Type	DLC	DATA
247	17:08:22:719	0	接收	00 02 26 D8 	数据帧	扩展帧	8	61 61 61 61 61 61 61 61 
248	17:08:22:741	0	接收	00 02 26 D8 	数据帧	扩展帧	8	61 61 61 61 61 61 61 61 
249	17:08:22:766	0	接收	00 02 26 D8 	数据帧	扩展帧	8	61 6C 6A 6C 61 6A 64 66 
250	17:08:22:779	0	接收	00 02 26 D8 	数据帧	扩展帧	8	6C 61 6A 64 73 6C 66 61 
251	17:08:22:798	0	接收	00 02 26 D8 	数据帧	扩展帧	8	6A 6C 64 73 6A 66 6C 61 
252	17:08:22:817	0	接收	00 02 26 D8 	数据帧	扩展帧	8	64 73 6A 66 6C 61 64 6A 
253	17:08:22:850	0	接收	00 02 26 D8 	数据帧	扩展帧	8	73 66 6C 61 6A 64 6C 66 
254	17:08:22:859	0	接收	00 02 26 D8 	数据帧	扩展帧	8	6A 61 73 6C 64 66 6A 6C 
255	17:08:22:879	0	接收	00 02 26 D8 	数据帧	扩展帧	8	61 64 73 6A 66 61 6C 64 
256	17:08:22:904	0	接收	00 02 26 D8 	数据帧	扩展帧	8	73 6A 66 6C 61 6B 64 73 
257	17:08:22:925	0	接收	00 02 26 D8 	数据帧	扩展帧	8	6A 66 6C 61 73 64 6B 6A 
258	17:08:22:940	0	接收	00 02 26 D8 	数据帧	扩展帧	8	66 61 64 73 6B 64 64 64 
259	17:08:22:959	0	接收	00 02 26 D8 	数据帧	扩展帧	8	64 64 64 64 64 64 64 64 
260	17:08:22:991	0	接收	00 02 26 D8 	数据帧	扩展帧	8	64 64 64 64 64 64 64 64 
261	17:08:23:000	0	接收	00 02 26 D8 	数据帧	扩展帧	8	64 64 64 64 64 64 64 64 
262	17:08:23:014	0	接收	00 02 26 D8 	数据帧	扩展帧	8	64 64 64 64 64 64 64 64 
263	17:08:23:036	0	接收	00 02 26 D8 	数据帧	扩展帧	8	64 64 64 64 64 64 64 64 
264	17:08:23:069	0	接收	00 02 26 D8 	数据帧	扩展帧	8	64 64 64 64 64 64 64 64 
265	17:08:23:080	0	接收	00 02 26 D8 	数据帧	扩展帧	8	64 64 64 64 64 31 32 31 
266	17:08:23:097	0	接收	00 02 26 D8 	数据帧	扩展帧	8	32 32 32 32 32 32 32 32 
267	17:08:23:127	0	接收	00 02 26 D8 	数据帧	扩展帧	5	F9 6B 22 E7 C5 
268	17:08:23:127	0	接收	02 20 02 00 	数据帧	扩展帧	8	98 FF 02 00 AA AA AA 97 
269	17:08:23:702	0	接收	00 02 24 D9 	数据帧	扩展帧	8	04 12 C7 02 01 00 00 03 
270	17:08:23:723	0	接收	00 02 26 D9 	数据帧	扩展帧	8	00 00 08 00 00 00 09 18 
271	17:08:23:753	0	接收	00 02 26 D9 	数据帧	扩展帧	8	32 32 32 32 32 32 32 32 
272	17:08:23:764	0	接收	00 02 26 D9 	数据帧	扩展帧	8	32 32 32 32 32 32 32 32 
273	17:08:23:783	0	接收	00 02 26 D9 	数据帧	扩展帧	8	32 32 32 32 32 32 32 32 
274	17:08:23:802	0	接收	00 02 26 D9 	数据帧	扩展帧	8	32 32 32 32 32 32 32 32 
275	17:08:23:828	0	接收	00 02 26 D9 	数据帧	扩展帧	8	32 32 32 32 32 32 32 32 
276	17:08:23:845	0	接收	00 02 26 D9 	数据帧	扩展帧	8	32 32 32 32 32 32 32 32 
277	17:08:23:866	0	接收	00 02 26 D9 	数据帧	扩展帧	8	32 33 33 33 33 33 33 33 
278	17:08:23:890	0	接收	00 02 26 D9 	数据帧	扩展帧	8	33 33 33 33 33 33 33 33 
279	17:08:23:911	0	接收	00 02 26 D9 	数据帧	扩展帧	8	33 33 33 33 33 33 33 33 
280	17:08:23:924	0	接收	00 02 26 D9 	数据帧	扩展帧	8	33 33 33 33 33 72 66 64 
281	17:08:23:942	0	接收	00 02 26 D9 	数据帧	扩展帧	8	66 61 64 66 61 64 66 61 
282	17:08:23:975	0	接收	00 02 26 D9 	数据帧	扩展帧	8	73 64 66 61 66 61 61 61 
283	17:08:23:984	0	接收	00 02 26 D9 	数据帧	扩展帧	8	61 61 61 61 61 61 61 61 
284	17:08:24:018	0	接收	00 02 26 D9 	数据帧	扩展帧	8	61 61 61 61 61 61 61 61 
285	17:08:24:031	0	接收	00 02 26 D9 	数据帧	扩展帧	8	61 61 61 61 61 61 61 61 
286	17:08:24:052	0	接收	00 02 26 D9 	数据帧	扩展帧	8	61 61 61 61 61 61 61 61 
287	17:08:24:063	0	接收	00 02 26 D9 	数据帧	扩展帧	8	61 61 61 61 61 61 61 61 
288	17:08:24:083	0	接收	00 02 26 D9 	数据帧	扩展帧	8	61 61 61 61 61 61 61 61 
289	17:08:24:108	0	接收	00 02 26 D9 	数据帧	扩展帧	8	61 61 61 61 6C 6A 6C 61 
290	17:08:24:128	0	接收	00 02 26 D9 	数据帧	扩展帧	8	6A 64 66 6C 61 6A 64 73 
291	17:08:24:141	0	接收	00 02 26 D9 	数据帧	扩展帧	8	6C 66 61 6A 6C 64 73 6A 
292	17:08:24:162	0	接收	00 02 26 D9 	数据帧	扩展帧	8	66 6C 61 64 73 6A 66 6C 
293	17:08:24:193	0	接收	00 02 26 D9 	数据帧	扩展帧	8	61 64 6A 73 66 6C 61 6A 
294	17:08:24:203	0	接收	00 02 26 D9 	数据帧	扩展帧	8	64 6C 66 6A 61 73 6C 64 
295	17:08:24:238	0	接收	00 02 26 D9 	数据帧	扩展帧	8	66 6A 6C 61 64 73 6A 66 
296	17:08:24:238	0	接收	00 02 26 D9 	数据帧	扩展帧	8	61 6C 64 73 6A 66 6C 61 
297	17:08:24:269	0	接收	00 02 26 D9 	数据帧	扩展帧	8	6B 64 73 6A 66 6C 61 73 
298	17:08:24:280	0	接收	00 02 26 D9 	数据帧	扩展帧	8	64 6B 6A 66 61 64 73 6B 
299	17:08:24:301	0	接收	00 02 26 D9 	数据帧	扩展帧	8	64 64 64 64 64 64 64 64 
300	17:08:24:330	0	接收	00 02 26 D9 	数据帧	扩展帧	8	64 64 64 64 64 64 64 64 
301	17:08:24:341	0	接收	00 02 26 D9 	数据帧	扩展帧	8	64 64 64 64 64 64 64 64 
302	17:08:24:378	0	接收	00 02 26 D9 	数据帧	扩展帧	8	64 64 64 64 64 64 64 64 
303	17:08:24:389	0	接收	00 02 26 D9 	数据帧	扩展帧	8	64 64 64 64 64 64 64 64 
304	17:08:24:429	0	接收	00 02 26 D9 	数据帧	扩展帧	8	64 64 64 64 64 64 64 64 
305	17:08:24:470	0	接收	00 02 26 D9 	数据帧	扩展帧	8	64 64 64 64 64 64 64 64 
306	17:08:24:483	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
307	17:08:24:502	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
308	17:08:24:535	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
309	17:08:24:548	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
310	17:08:24:569	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
311	17:08:24:594	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
312	17:08:24:614	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
313	17:08:24:641	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
314	17:08:24:654	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
315	17:08:24:675	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
316	17:08:24:689	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
317	17:08:24:722	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
318	17:08:24:741	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
319	17:08:24:751	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
320	17:08:24:783	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
321	17:08:24:794	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
322	17:08:24:814	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
323	17:08:24:826	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
324	17:08:24:847	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
325	17:08:24:873	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
326	17:08:24:893	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
327	17:08:24:907	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
328	17:08:24:936	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
329	17:08:24:958	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
330	17:08:24:967	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
331	17:08:25:003	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
332	17:08:25:016	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
333	17:08:25:036	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
334	17:08:25:046	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
335	17:08:25:067	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
336	17:08:25:096	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
337	17:08:25:116	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
338	17:08:25:145	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
339	17:08:25:154	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
340	17:08:25:175	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
341	17:08:25:205	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
342	17:08:25:205	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
343	17:08:25:226	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
344	17:08:25:253	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
345	17:08:25:283	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
346	17:08:25:303	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
347	17:08:25:311	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
348	17:08:25:333	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
349	17:08:25:346	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
350	17:08:25:379	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
351	17:08:25:388	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
352	17:08:25:409	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
353	17:08:25:441	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
354	17:08:25:472	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
355	17:08:25:507	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
356	17:08:25:517	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
357	17:08:25:551	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
358	17:08:25:567	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
359	17:08:25:576	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
360	17:08:25:597	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
361	17:08:25:624	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
362	17:08:25:642	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
363	17:08:25:656	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
364	17:08:25:675	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
365	17:08:25:707	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
366	17:08:25:724	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
367	17:08:25:735	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
368	17:08:25:765	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
369	17:08:25:781	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
370	17:08:25:795	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
371	17:08:25:814	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
372	17:08:25:837	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
373	17:08:25:858	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
374	17:08:25:879	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
375	17:08:25:892	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
376	17:08:25:912	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
377	17:08:25:944	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
378	17:08:25:953	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
379	17:08:25:972	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
380	17:08:26:002	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
381	17:08:26:023	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
382	17:08:26:033	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
383	17:08:26:052	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
384	17:08:26:077	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
385	17:08:26:093	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
386	17:08:26:130	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
387	17:08:26:139	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
388	17:08:26:157	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
389	17:08:26:178	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
390	17:08:26:207	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
391	17:08:26:221	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
392	17:08:26:240	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
393	17:08:26:273	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
394	17:08:26:283	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
395	17:08:26:296	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
396	17:08:26:317	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
397	17:08:26:342	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
398	17:08:26:363	0	接收	00 02 26 D9 	数据帧	扩展帧	8	FF FF FF FF FF FF FF FF 
399	17:08:26:395	0	接收	00 02 26 D9 	数据帧	扩展帧	5	9B 0B 79 E5 73 
400	17:08:26:395	0	接收	02 20 02 00 	数据帧	扩展帧	8	98 FF 02 00 AA AA AA 97 
401	17:08:27:035	0	接收	00 02 22 00 	数据帧	扩展帧	8	C8 51 02 01 AA AA AA AA 
402	17:08:27:035	0	接收	02 20 02 00 	数据帧	扩展帧	8	97 FF 02 01 AA AA AA 97 
403	17:08:27:444	0	接收	00 1F A8 00 	数据帧	扩展帧	8	50 05 5B BD C1 AD 00 00 
404	17:08:37:549	0	接收	00 1F A8 00 	数据帧	扩展帧	8	50 05 5B BD C1 B7 00 00 
405	17:08:47:623	0	接收	00 1F A8 00 	数据帧	扩展帧	8	50 05 5B BD C1 C1 00 00 
