Seq	Time	CANInd	Orentation	ID	Frame	Type	DLC	DATA
135	17:08:19:845	0	接收	00 02 26 D7 	数据帧	扩展帧	5	F7 F3 9B A3 D0 
136	17:08:19:865	0	接收	02 20 02 00 	数据帧	扩展帧	8	98 FF 02 00 AA AA AA 97 
137	17:08:20:457	0	接收	00 02 24 D8 	数据帧	扩展帧	8	04 12 C7 02 01 00 00 02 
138	17:08:20:466	0	接收	00 02 26 D8 	数据帧	扩展帧	8	00 00 04 00 00 00 08 00 
139	17:08:20:502	0	接收	00 02 26 D8 	数据帧	扩展帧	8	61 61 61 61 61 61 61 61 
140	17:08:20:518	0	接收	00 02 26 D8 	数据帧	扩展帧	8	6C 6A 6C 61 6A 64 66 6C 
141	17:08:20:551	0	接收	00 02 26 D8 	数据帧	扩展帧	8	61 6A 64 73 6C 66 61 6A 
142	17:08:20:551	0	接收	00 02 26 D8 	数据帧	扩展帧	8	6C 64 73 6A 66 6C 61 64 
143	17:08:20:582	0	接收	00 02 26 D8 	数据帧	扩展帧	8	73 6A 66 6C 61 64 6A 73 
144	17:08:20:592	0	接收	00 02 26 D8 	数据帧	扩展帧	8	66 6C 61 6A 64 6C 66 6A 
145	17:08:20:629	0	接收	00 02 26 D8 	数据帧	扩展帧	8	61 73 6C 64 66 6A 6C 61 
146	17:08:20:640	0	接收	00 02 26 D8 	数据帧	扩展帧	8	64 73 6A 66 61 6C 64 73 
147	17:08:20:658	0	接收	00 02 26 D8 	数据帧	扩展帧	8	6A 66 6C 61 6B 64 73 6A 
148	17:08:20:669	0	接收	00 02 26 D8 	数据帧	扩展帧	8	66 6C 61 73 64 6B 6A 66 
149	17:08:20:690	0	接收	00 02 26 D8 	数据帧	扩展帧	8	61 64 73 6B 64 64 64 64 
150	17:08:20:710	0	接收	00 02 26 D8 	数据帧	扩展帧	8	64 64 64 64 64 64 64 64 
151	17:08:20:737	0	接收	00 02 26 D8 	数据帧	扩展帧	8	64 64 64 64 64 64 64 64 
152	17:08:20:751	0	接收	00 02 26 D8 	数据帧	扩展帧	8	64 64 64 64 64 64 64 64 
153	17:08:20:772	0	接收	00 02 26 D8 	数据帧	扩展帧	8	64 64 64 64 64 64 64 64 
154	17:08:20:799	0	接收	00 02 26 D8 	数据帧	扩展帧	8	64 64 64 64 64 64 64 64 
155	17:08:20:810	0	接收	00 02 26 D8 	数据帧	扩展帧	8	64 64 64 64 64 64 64 64 
156	17:08:20:846	0	接收	00 02 26 D8 	数据帧	扩展帧	8	64 64 64 64 31 32 31 32 
157	17:08:20:861	0	接收	00 02 26 D8 	数据帧	扩展帧	8	32 32 32 32 32 32 32 32 
158	17:08:20:872	0	接收	00 02 26 D8 	数据帧	扩展帧	8	32 32 32 32 32 32 32 32 
159	17:08:20:909	0	接收	00 02 26 D8 	数据帧	扩展帧	8	32 32 32 32 32 32 32 32 
160	17:08:20:909	0	接收	00 02 26 D8 	数据帧	扩展帧	8	32 32 32 32 32 32 32 32 
161	17:08:20:942	0	接收	00 02 26 D8 	数据帧	扩展帧	8	32 32 32 32 32 32 32 32 
162	17:08:20:952	0	接收	00 02 26 D8 	数据帧	扩展帧	8	32 32 32 32 32 32 32 32 
163	17:08:20:985	0	接收	00 02 26 D8 	数据帧	扩展帧	8	32 32 32 32 32 32 32 32 
164	17:08:21:007	0	接收	00 02 26 D8 	数据帧	扩展帧	8	33 33 33 33 33 33 33 33 
165	17:08:21:018	0	接收	00 02 26 D8 	数据帧	扩展帧	8	33 33 33 33 33 33 33 33 
166	17:08:21:038	0	接收	00 02 26 D8 	数据帧	扩展帧	8	33 33 33 33 33 33 33 33 
167	17:08:21:050	0	接收	00 02 26 D8 	数据帧	扩展帧	8	33 33 33 33 72 66 64 66 
168	17:08:21:082	0	接收	00 02 26 D8 	数据帧	扩展帧	8	61 64 66 61 64 66 61 73 
169	17:08:21:093	0	接收	00 02 26 D8 	数据帧	扩展帧	8	64 66 61 66 61 61 61 61 
170	17:08:21:113	0	接收	00 02 26 D8 	数据帧	扩展帧	8	61 61 61 61 61 61 61 61 
171	17:08:21:144	0	接收	00 02 26 D8 	数据帧	扩展帧	8	61 61 61 61 61 61 61 61 
172	17:08:21:157	0	接收	00 02 26 D8 	数据帧	扩展帧	8	61 61 61 61 61 61 61 61 
173	17:08:21:177	0	接收	00 02 26 D8 	数据帧	扩展帧	8	61 61 61 61 61 61 61 61 
174	17:08:21:205	0	接收	00 02 26 D8 	数据帧	扩展帧	8	61 61 61 61 61 61 61 61 
175	17:08:21:222	0	接收	00 02 26 D8 	数据帧	扩展帧	8	61 61 61 61 61 61 61 61 
176	17:08:21:233	0	接收	00 02 26 D8 	数据帧	扩展帧	8	61 61 61 6C 6A 6C 61 6A 
177	17:08:21:254	0	接收	00 02 26 D8 	数据帧	扩展帧	8	64 66 6C 61 6A 64 73 6C 
178	17:08:21:288	0	接收	00 02 26 D8 	数据帧	扩展帧	8	66 61 6A 6C 64 73 6A 66 
179	17:08:21:294	0	接收	00 02 26 D8 	数据帧	扩展帧	8	6C 61 64 73 6A 66 6C 61 
180	17:08:21:314	0	接收	00 02 26 D8 	数据帧	扩展帧	8	64 6A 73 66 6C 61 6A 64 
181	17:08:21:332	0	接收	00 02 26 D8 	数据帧	扩展帧	8	6C 66 6A 61 73 6C 64 66 
182	17:08:21:362	0	接收	00 02 26 D8 	数据帧	扩展帧	8	6A 6C 61 64 73 6A 66 61 
183	17:08:21:374	0	接收	00 02 26 D8 	数据帧	扩展帧	8	6C 64 73 6A 66 6C 61 6B 
184	17:08:21:419	0	接收	00 02 26 D8 	数据帧	扩展帧	8	64 73 6A 66 6C 61 73 64 
185	17:08:21:457	0	接收	00 02 26 D8 	数据帧	扩展帧	8	6B 6A 66 61 64 73 6B 64 
